age,sex,s,v,rs,rv,dead,vrs,sv,n
27,female,0.11665412046698698,0.07294281113870169,0.1559324367,0.0,0,0,0.01063949365352465,0.6438311380407866
27,male,0.14350177851349696,0.10253624695449784,0.17746285679999999,0.0,0,0,0.020048877530859214,0.556450240201146
28,female,0.1169547786532453,0.06469247612008427,0.1670188233,0.0,0,0,0.009352399245238981,0.6419815226814314
28,male,0.14516246964057866,0.09743567621672833,0.1900799997,0.0,0,0,0.019159011887626615,0.5481628425550664
29,female,0.11696788402811964,0.05834118603756231,0.1781052099,0.0,0,0,0.008359404073372705,0.6382263159609454
29,male,0.14669516628470253,0.09305111863406186,0.2026971426,0.0,0,0,0.018400056622156893,0.5391565158590788
30,female,0.11534512609108913,0.053984395173268154,0.1891915965,0.0,0,0,0.0075650538557934365,0.6339138283798493
30,male,0.14303265081906713,0.08998856343221917,0.21531428549999998,0.0,0,0,0.017166022508729287,0.5344984777399844
31,female,0.11209378973759924,0.06157833482293021,0.1923113164,0.0,0,0,0.008439475256636481,0.625577083782834
31,male,0.13869825667330626,0.09087043329934415,0.21886476169999997,0.0,0,0,0.016722059159082606,0.5348444891682671
32,female,0.11085432135166706,0.05925225607358777,0.19543103630000003,0.0,0,0,0.007991671298170125,0.626470714976575
32,male,0.13671742384649588,0.08838506786626,0.2224152379,0.0,0,0,0.015921153147044526,0.5365611172401996
33,female,0.10948536204971106,0.05796484347326774,0.1985507562,0.0,0,0,0.007693830377713671,0.6263052078993075
33,male,0.13467940033429052,0.08630671913979365,0.2259657141,0.0,0,0,0.015218389363462698,0.5378297770624532
34,female,0.10728176316102166,0.05777179223593707,0.20167047610000002,0.0,0,0,0.0074902572813001726,0.6257857112217411
34,male,0.13137312386793662,0.08477381849588274,0.22951619029999998,0.0,0,0,0.014475336432399477,0.5398615309037812
35,female,0.10499381327835824,0.05854364741218651,0.204790196,0.0,0,0,0.007414188544440366,0.6242581547650148
35,male,0.12809888577246079,0.08340610211013617,0.2330666665,0.0,0,0,0.013791375490966604,0.5416369701264365
36,female,0.10141152684386537,0.05958180379757607,0.2131317646,0.0,0,0,0.007264610016236984,0.6186102947423215
36,male,0.12270765482719607,0.08137621837525207,0.24255999979999998,0.0,0,0,0.012750151604935433,0.5406059753926165
37,female,0.09802578879048798,0.05986881127145798,0.22147333319999998,0.0,0,0,0.007027714367464611,0.6136043523705894
37,male,0.11738788107644756,0.08005320049404761,0.2520533331,0.0,0,0,0.011885149024811565,0.5386204363046933
38,female,0.0981417898828273,0.059520020962349526,0.22981490180000003,0.0,0,0,0.006992797771270974,0.6055304895835522
38,male,0.11600933933820494,0.07821510122940797,0.2615466664,0.0,0,0,0.01142273552354835,0.5328061575088388
39,female,0.09830354932816848,0.058783115049385694,0.23815647040000001,0.0,0,0,0.006912178048521074,0.5978446871739247
39,male,0.11465693312579325,0.07626821055576619,0.27103999970000003,0.0,0,0,0.010956621126712779,0.5270782354917277
40,female,0.09851117288631568,0.05765819926611593,0.246498039,0.0,0,0,0.006785749465665433,0.5905468393819029
40,male,0.11333005929600438,0.07421209121979135,0.280533333,0.0,0,0,0.01048724308763572,0.5214372733965685
41,female,0.10138558027807,0.05351272259283462,0.2479976469,0.0,0,0,0.006469364729607746,0.5906346854994877
